href,text
b'https://www.w3schools.com',b''
b'javascript:void(0)',b'Tutorials'
b'javascript:void(0)',b'References'
b'javascript:void(0)',b'Exercises'
b'https://www.w3schools.com/videos/index.php',b'Videos'
b'javascript:void(0)',b'Menu'
b'https://profile.w3schools.com/log-in?redirect_url=https%3A%2F%2Fmy-learning.w3schools.com',b'Log in'
b'https://www.w3schools.com/spaces',b'Create Website'
b'https://shop.w3schools.com/collections/course-catalog',b'Get Certified'
b'/pro/index.php',b'Upgrade'
b'javascript:void(0);',b''
b'/default.asp',b''
b'/html/default.asp',b'HTML'
b'/css/default.asp',b'CSS'
b'/js/default.asp',b'JAVASCRIPT'
b'/sql/default.asp',b'SQL'
b'/python/default.asp',b'PYTHON'
b'/java/default.asp',b'JAVA'
b'/php/default.asp',b'PHP'
b'/bootstrap/bootstrap_ver.asp',b'BOOTSTRAP'
b'/howto/default.asp',b'HOW TO'
b'/w3css/default.asp',b'W3.CSS'
b'/c/index.php',b'C'
b'/cpp/default.asp',b'C++'
b'/cs/index.php',b'C#'
b'/react/default.asp',b'REACT'
b'/r/default.asp',b'R'
b'/jquery/default.asp',b'JQUERY'
b'/django/index.php',b'DJANGO'
b'/typescript/index.php',b'TYPESCRIPT'
b'/nodejs/default.asp',b'NODEJS'
b'/mysql/default.asp',b'MYSQL'
b'javascript:void(0);',b'\xee\xa0\x82'
b'javascript:void(0);',b'\xee\xa0\x81'
b'javascript:void(0);',b'\xee\xa0\x8b'
b'/html/default.asp',b'Learn HTML'
b'/css/default.asp',b'Learn CSS'
b'/css/css_rwd_intro.asp',b'Learn RWD'
b'/bootstrap/bootstrap_ver.asp',b'Learn Bootstrap'
b'/w3css/default.asp',b'Learn W3.CSS'
b'/colors/default.asp',b'Learn Colors'
b'/icons/default.asp',b'Learn Icons'
b'/graphics/default.asp',b'Learn Graphics'
b'/graphics/svg_intro.asp',b'Learn SVG'
b'/graphics/canvas_intro.asp',b'Learn Canvas'
b'/howto/default.asp',b'Learn How To'
b'/sass/default.php',b'Learn Sass'
b'/ai/default.asp',b'Learn AI'
b'/python/python_ml_getting_started.asp',b'Learn Machine Learning'
b'/datascience/default.asp',b'Learn Data Science'
b'/python/numpy/default.asp',b'Learn NumPy'
b'/python/pandas/default.asp',b'Learn Pandas'
b'/python/scipy/index.php',b'Learn SciPy'
b'/python/matplotlib_intro.asp',b'Learn Matplotlib'
b'/statistics/index.php',b'Learn Statistics'
b'/excel/index.php',b'Learn Excel'
b'/xml/default.asp',b'Learn XML'
b'/xml/ajax_intro.asp',b'Learn XML AJAX'
b'/xml/dom_intro.asp',b'Learn XML DOM'
b'/xml/xml_dtd_intro.asp',b'Learn XML DTD'
b'/xml/schema_intro.asp',b'Learn XML Schema'
b'/xml/xsl_intro.asp',b'Learn XSLT'
b'/xml/xpath_intro.asp',b'Learn XPath'
b'/xml/xquery_intro.asp',b'Learn XQuery'
b'/js/default.asp',b'Learn JavaScript'
b'/jquery/default.asp',b'Learn jQuery'
b'/react/default.asp',b'Learn React'
b'/angular/default.asp',b'Learn AngularJS'
b'/js/js_json_intro.asp',b'Learn JSON'
b'/js/js_ajax_intro.asp',b'Learn AJAX'
b'/appml/default.asp',b'Learn AppML'
b'/w3js/default.asp',b'Learn W3.JS'
b'/python/default.asp',b'Learn Python'
b'/java/default.asp',b'Learn Java'
b'/c/index.php',b'Learn C'
b'/cpp/default.asp',b'Learn C++'
b'/cs/index.php',b'Learn C#'
b'/r/default.asp',b'Learn R'
b'/kotlin/index.php',b'Learn Kotlin'
b'/go/index.php',b'Learn Go'
b'/django/index.php',b'Learn Django'
b'/typescript/index.php',b'Learn TypeScript'
b'/sql/default.asp',b'Learn SQL'
b'/mysql/default.asp',b'Learn MySQL'
b'/php/default.asp',b'Learn PHP'
b'/asp/default.asp',b'Learn ASP'
b'/nodejs/default.asp',b'Learn Node.js'
b'/nodejs/nodejs_raspberrypi.asp',b'Learn Raspberry Pi'
b'/git/default.asp',b'Learn Git'
b'/mongodb/index.php',b'Learn MongoDB'
b'/aws/index.php',b'Learn AWS Cloud'
b'https://www.w3schools.com/spaces',b'Create a Website NEW'
b'/where_to_start.asp',b'Where To Start'
b'/w3css/w3css_templates.asp',b'Web Templates'
b'/browsers/default.asp',b'Web Statistics'
b'/cert/default.asp',b'Web Certificates'
b'/whatis/default.asp',b'Web Development'
b'/tryit/default.asp',b'Code Editor'
b'/typingspeed/default.asp',b'Test Your Typing Speed'
b'/codegame/index.html',b'Play a Code Game'
b'/cybersecurity/index.php',b'Cyber Security'
b'/accessibility/index.php',b'Accessibility'
b'https://campus.w3schools.com/pages/newsletter',b'Join our Newsletter'
b'/ai/default.asp',b'Learn AI'
b'/python/python_ml_getting_started.asp',b'Learn Machine Learning'
b'/datascience/default.asp',b'Learn Data Science'
b'/python/numpy/default.asp',b'Learn NumPy'
b'/python/pandas/default.asp',b'Learn Pandas'
b'/python/scipy/index.php',b'Learn SciPy'
b'/python/matplotlib_intro.asp',b'Learn Matplotlib'
b'/statistics/index.php',b'Learn Statistics'
b'/excel/index.php',b'Learn Excel'
b'/googlesheets/index.php',b'Learn Google Sheets'
b'/xml/default.asp',b'Learn XML'
b'/xml/ajax_intro.asp',b'Learn XML AJAX'
b'/xml/dom_intro.asp',b'Learn XML DOM'
b'/xml/xml_dtd_intro.asp',b'Learn XML DTD'
b'/xml/schema_intro.asp',b'Learn XML Schema'
b'/xml/xsl_intro.asp',b'Learn XSLT'
b'/xml/xpath_intro.asp',b'Learn XPath'
b'/xml/xquery_intro.asp',b'Learn XQuery'
b'/tags/default.asp',b'HTML Tag Reference'
b'/tags/ref_html_browsersupport.asp',b'HTML Browser Support'
b'/tags/ref_eventattributes.asp',b'HTML Event Reference'
b'/colors/default.asp',b'HTML Color Reference'
b'/tags/ref_attributes.asp',b'HTML Attribute Reference'
b'/tags/ref_canvas.asp',b'HTML Canvas Reference'
b'/graphics/svg_reference.asp',b'HTML SVG Reference'
b'/graphics/google_maps_reference.asp',b'Google Maps Reference'
b'/cssref/index.php',b'CSS Reference'
b'/cssref/css3_browsersupport.asp',b'CSS Browser Support'
b'/cssref/css_selectors.asp',b'CSS Selector Reference'
b'/bootstrap/bootstrap_ref_all_classes.asp',b'Bootstrap 3 Reference'
b'/bootstrap4/bootstrap_ref_all_classes.asp',b'Bootstrap 4 Reference'
b'/w3css/w3css_references.asp',b'W3.CSS Reference'
b'/icons/icons_reference.asp',b'Icon Reference'
b'/sass/sass_functions_string.php',b'Sass Reference'
b'/jsref/default.asp',b'JavaScript Reference'
b'/jsref/default.asp',b'HTML DOM Reference'
b'/jquery/jquery_ref_overview.asp',b'jQuery Reference'
b'/angular/angular_ref_directives.asp',b'AngularJS Reference'
b'/appml/appml_reference.asp',b'AppML Reference'
b'/w3js/w3js_references.asp',b'W3.JS Reference'
b'/python/python_reference.asp',b'Python Reference'
b'/java/java_ref_keywords.asp',b'Java Reference'
b'/sql/sql_ref_keywords.asp',b'SQL Reference'
b'/mysql/mysql_ref_functions.asp',b'MySQL Reference'
b'/php/php_ref_overview.asp',b'PHP Reference'
b'/asp/asp_ref_response.asp',b'ASP Reference'
b'/xml/dom_nodetype.asp',b'XML DOM Reference'
b'/xml/dom_http.asp',b'XML Http Reference'
b'/xml/xsl_elementref.asp',b'XSLT Reference'
b'/xml/schema_elements_ref.asp',b'XML Schema Reference'
b'/charsets/default.asp',b'HTML Character Sets'
b'/charsets/ref_html_ascii.asp',b'HTML ASCII'
b'/charsets/ref_html_ansi.asp',b'HTML ANSI'
b'/charsets/ref_html_ansi.asp',b'HTML Windows-1252'
b'/charsets/ref_html_8859.asp',b'HTML ISO-8859-1'
b'/charsets/ref_html_symbols.asp',b'HTML Symbols'
b'/charsets/ref_html_utf8.asp',b'HTML UTF-8'
b'/exercises/index.php',b'Exercises'
b'/html/html_exercises.asp',b'HTML Exercises'
b'/css/css_exercises.asp',b'CSS Exercises'
b'/js/js_exercises.asp',b'JavaScript Exercises'
b'/python/python_exercises.asp',b'Python Exercises'
b'/sql/sql_exercises.asp',b'SQL Exercises'
